Statistical unit;Unit of measure;Level of education;Orientation;Type of institution;Type of expenditure;Source of funding;Funding flow;Teaching experience;Type of contract;Reference area;Time Period;2010;2011;2012;2013;2014;2015;2016;2017
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L1:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;61.703.668;69.822.762;58.556.307;40.829.325;40.041.343;;;
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L2_3:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;330.784.659;266.596.064;266.794.499;317.141.363;256.291.596;259.368.000;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.91572;0.94824;0.80496;0.79864;0.74812;0.74564;0.96866;113.829
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L5T8:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;86.521.148;100.973.979;89.380.852;67.060.905;69.538.911;;98.979.670;
EDU_EXP:Expenditure on education;USD:US dollar;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;14.723.861;28.293.858;18.915.043;1.614.272;2.570.592;2.981.335;4.068.932;5.602.721
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);Y15:With 15 years' teaching experience;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L2:_T:_T:_T:GOV:FFNTP:Y15:PERM:IR;;;;;;14.215.111;;
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L02T3:Pre-primary education to secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L02T3:_T:_T:_T:GOV:_T:_Z:_Z:IR;7.482.181;6.815.985;6.785.778;7.160.681;6.675.198;6.486.680;6.569.575;6.351.547
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L02:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;31.809.002;53.583.854;35.076.370;2.389.037;;;;
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L2T4:Secondary and post-secondary non-tertiary education;C5:Vocational programmes;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L2T4:C5:_T:_T:GOV:_T:_Z:_Z:IR;;;;177.418.047;124.476.541;144.033.260;152.030.104;173.507.802
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L2_3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;1.829.642;1.410.434;1.392.143;1.810.744;1.484.992;1.454.783;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2_3:Secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2_3:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.868.073;;8.460.368;8.460.370
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;93.181.950;77.370.879;75.329.553;85.904.179;68.976.517;;;
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L5T8:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;86.521.148;100.973.979;89.380.852;67.060.905;69.538.911;;98.979.670;
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;1.658.379;1.317.067;1.264.747;1.578.156;1.285.944;;;
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;464.106;520.510;441.957;568.173;528.749;496.423;556.891;603.755
EDU_EXP:Expenditure on education;GDP:as % of GDP;L1:Primary education;_T:Total;INST_T:All institutions;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L1:_T:INST_T:_T:GOV:_T:_Z:_Z:IR;0.91545;0.94839;0.80502;0.80425;0.75323;0.74786;0.97111;114.184
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L3:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.088.862;;8.107.013;8.384.709
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;527.701;418.873;415.555;575.162;471.505;447.309;422.196;397.370
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L02:_T:_T:CUR:GOV:_T:_Z:_Z:IR;109.630;183.089;114.665;0.09224;;;;0.36426
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2_3:_T:_T:CUR:GOV:_T:_Z:_Z:IR;5.002.039;3.978.772;4.059.306;4.495.630;3.899.681;;;3.411.225
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L4:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;492.387;;505.261;502.277
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;382.119;460.728;450.932;545.119;524.610;574.081;447.794;385.302
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L4:_T:_T:_T:GOV:_T:_Z:_Z:IR;0.71855;0.88122;0.78442;118.149;103.164;106.600;0.86430;0.77222
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L1:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;1.803.248;;1.119.517;1.140.709
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L2:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;0.37063;;0.20722;0.20722
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L4:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;;;112.177.091;;;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;0.34432;;0.19918;0.20482
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.055.337.111;1.337.653.359;1.266.728.821;942.482.958;1.048.345.818;1.149.433.320;1.384.857.543;1.934.830.417
XUNIT:Government expenditure per student;USD:US dollar;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L1:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;61.706.528;77.636.978;75.989.673;58.753.065;45.060.148;;;
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_COMPT:Expenditure for compensation of teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_T:Total;_T:Total;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:_T:_T:INST_PUB:CUR_COMPT:GOV:FFNTP:_T:_T:IR;;;;;6.810.222;;6.752.694;7.156.621
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L2:Lower secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L2:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;287.376.865;242.140.556;222.475.858;340.362.152;259.539.455;;;
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L4:Post-secondary non-tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L4:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;;;41.074.481;;;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2_3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;182.426;136.887;131.270;138.992;111.123;105.985;122.951;125.228
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L2_3:Secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L2_3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;270.319.041;228.662.101;221.406.099;289.820.619;231.429.577;;;
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;2.468.077;2.721.379;2.540.620;2.621.460;2.688.802;2.673.435;2.885.249;3.012.441
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L3:Upper secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L3:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;0.36958;;0.20722;0.20722
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L5T8:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;4.760.862;;3.003.427;2.730.497
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;0.78336;0.60566;0.55577;0.57577;0.43955;0.38598;0.49329;0.50077
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L3:Upper secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L3:_T:_T:_T:GOV:_T:_Z:_Z:IR;2.806.270;2.189.992;2.388.847;2.653.705;2.397.701;2.408.934;2.187.395;1.982.685
EDU_EXP:Expenditure on education;GOV_EXP_EDU:as % of total government expenditure on education;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_EDU:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;2.135.700;2.723.287;2.763.290;2.294.200;2.800.192;2.939.239;2.982.631;3.263.151
XUNIT:Government expenditure per student;GNI_CAP:as % of GNI per capita;L2:Lower secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GNI_CAP:L2:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;1.737.966;1.373.353;1.283.198;2.037.466;1.607.732;1.452.204;;
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;755.316.544;599.627.162;590.235.501;578.429.937;461.553.234;460.478.785;527.136.961;608.823.819
XASTRP:Annual statutory teacher remuneration;GDP_CAP:as % of GDP per capita;L3:Upper secondary education;C4:General programmes;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);YTOP:At the top of the salary scale;PERM:Permanent;IR:Iran (Islamic Republic of);XASTRP:GDP_CAP:L3:C4:_T:_T:GOV:FFNTP:YTOP:PERM:IR;;;;;;24.182.027;;
EDU_EXP:Expenditure on education;USD_CONST:Constant US $;L5T8:Tertiary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:USD_CONST:L5T8:_T:_T:_T:GOV:_T:_Z:_Z:IR;327.989.471;415.730.872;393.688.151;292.915.395;325.816.639;357.233.743;430.401.516;601.328.238
XUNIT:Government expenditure per student;USD_CONST:Constant US $;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD_CONST:L5T8:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;69.204.973;85.320.307;79.355.355;64.019.833;65.168.606;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L4:Post-secondary non-tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L4:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;2.893.419;;2.969.070;2.951.536
EDU_EXP:Expenditure on education;PPP_CONST:Constant PPP $;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP_CONST:L02:_T:_T:_T:GOV:_T:_Z:_Z:IR;47.373.217;81.875.107;46.898.370;3.609.523;7.349.885;9.592.726;14.546.428;20.918.460
XUNIT:Government expenditure per student;PPP:Purchasing power parity;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP:L5T8:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;204.602.618;255.327.984;242.380.400;199.142.034;205.989.309;;;
XUNIT:Government expenditure per student;GDP_CAP:as % of GDP per capita;L02:Pre-primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:GDP_CAP:L02:_T:_T:_T:GOV:FFNTP:_Z:_Z:IR;566.112;912.146;588.915;0.43889;0.78474;0.80065;;
EDU_EXP:Expenditure on education;GNI:as % of GNI;L02:Pre-primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GNI:L02:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.03557;0.05808;0.03241;0.00268;;;;0.01333
EDU_EXP:Expenditure on education;PPP:Purchasing power parity;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:PPP:L1:_T:_T:_T:GOV:_T:_Z:_Z:IR;1.120.604.262;1.243.237.067;1.105.571.662;1.041.124.431;988.895.678;1.045.486.763;1.354.169.961;1.828.581.632
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_COMPO:Expenditure for compensation of non-teaching staff;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L5T8:_T:INST_PUB:CUR_COMPO:GOV:FFNTP:_Z:_Z:IR;;;;;1.187.659;;3.346.552;2.883.442
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L1:Primary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L1:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;198.537.381;224.661.333;188.410.451;131.372.211;128.836.804;;;
EDU_EXP:Expenditure on education;GDP:as % of GDP;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L3:_T:_T:CUR:GOV:_T:_Z:_Z:IR;0.90579;0.69751;0.64483;0.76852;0.61309;;;0.75152
XUNIT:Government expenditure per student;USD:US dollar;L1:Primary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:USD:L1:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;67.332.097;81.348.765;81.736.491;61.295.129;47.314.292;42.362.537;;
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;924.842;751.281;720.675;981.922;780.059;703.517;705.076;662.154
EDU_EXP:Expenditure on education;GOV_EXP_T:as % of total government expenditure (all sectors);_X:Not allocated by level;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GOV_EXP_T:_X:_T:_T:_T:GOV:_T:_Z:_Z:IR;0;0;0;0;0;0;0;0
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR_O:Current expenditure other than for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L5T8:_T:INST_PUB:CUR_O:GOV:FFNTP:_Z:_Z:IR;;;;;5.080.133;;3.176.542;3.120.940
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L3:Upper secondary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L3:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;299.821.728;248.948.112;242.379.954;276.404.811;221.938.460;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;_T:Total;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:_T:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;6.760.761;;7.507.487;7.614.205
EDU_EXP:Expenditure on education;GDP:as % of GDP;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;_T:Total (include transfers paid and received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:GDP:L2_3:_T:_T:_T:GOV:_T:_Z:_Z:IR;182.426;136.887;131.270;138.992;111.123;105.985;122.951;125.228
EDU_EXP:Expenditure on education;CUR_EXP:as a % of total current expenditure on education;L1:Primary education;_T:Total;INST_PUB:Public institutions;CUR_TM:Expenditure for school books and teaching material;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:CUR_EXP:L1:_T:INST_PUB:CUR_TM:GOV:FFNTP:_Z:_Z:IR;;;;;0.79143;;0.85984;0.85984
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L5T8:Tertiary education;_T:Total;_T:Total;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L5T8:_T:_T:CUR:GOV:FFNTP:_Z:_Z:IR;222.673.539;274.526.150;255.333.352;205.989.862;209.686.147;;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L5T8:Tertiary education;_T:Total;INST_PUB:Public institutions;CUR:Current;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L5T8:_T:INST_PUB:CUR:GOV:FFNTP:_Z:_Z:IR;;;;9.546.521;9.371.531;9.600.629;9.455.022;8.748.957
XUNIT:Government expenditure per student;PPP_CONST:Constant PPP $;L2_3:Secondary education;_T:Total;_T:Total;_T:Total;GOV:Government;FFNTR:Initial (net of transfers received);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);XUNIT:PPP_CONST:L2_3:_T:_T:_T:GOV:FFNTR:_Z:_Z:IR;330.784.659;266.596.064;266.794.499;317.141.363;256.291.596;259.368.000;;
EDU_EXP:Expenditure on education;EXP_T:as % of total expenditure;L2:Lower secondary education;_T:Total;INST_PUB:Public institutions;CUR_COMP:Expenditure for compensation of personnel;GOV:Government;FFNTP:Final (net of transfers paid);_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);EDU_EXP:EXP_T:L2:_T:INST_PUB:CUR_COMP:GOV:FFNTP:_Z:_Z:IR;;;;;8.247.278;;8.132.027;8.362.559
